sentence,translation,difficulty,Tense_Simple_Present,Tense_Present_Continuous,Tense_Present_Perfect,Tense_Present_Perfect_Cont,Tense_Simple_Past,Tense_Past_Continuous,Tense_Past_Perfect,Tense_Past_Perfect_Cont,Tense_Simple_Future,Tense_Future_Continuous,Tense_Future_Perfect,Tense_Future_Perfect_Cont,is_passive,subordinate_clause_count,noun_phrase_count,average_noun_phrase_length,prepositional_phrase_count,verb_phrase_count,adjective_count,adverb_count,proper_noun_count,sentence_length
"डिसेंबर २००८ मध्ये बीसीसीआयच्या वार्षिक करारांच्या यादीत त्याला ड दर्जाचा करार देण्यात आला, ज्यामुळे तो १५ लाख रुपये मिळण्यास पात्र ठरला","In December 2008, he was given a Grade D contract in the BCCI's annual contracts list, making him eligible to receive ₹15 lakh.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,6,2.6666666666666665,2,3,2,0,4,28
त्यानंतर जानेवारी २००९ च्या श्रीलंकेविरुद्ध श्रीलंकेत होणाऱ्या दौऱ्यातून त्याला वगळण्यात आले,He was subsequently ruled out of the January 2009 Sri Lanka tour of Sri Lanka.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3.0,3,1,0,1,5,16
जुलै-ऑगस्ट २००९ मध्ये ऑस्ट्रेलियात होणाऱ्या चार संघांच्या उदयोन्मुख खेळाडूंच्या स्पर्धेसाठी कोहलीची निवड झाली,Kohli was selected for the four-team Emerging Players Tournament to be held in Australia in July-August 2009.,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2.2,2,2,0,0,7,22
त्याने भारत उदयोन्मुख खेळाडूंच्या संघासाठी या स्पर्धेत सलामीवीराची भूमिका बजावली,He played the opener in the tournament for the India Emerging Players team.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.5,2,1,0,0,3,14
सदर स्पर्धेत त्याने सात सामन्यांत ६६,He scored 66 runs in seven matches.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,1,1,0,0,0,8
३३ च्या सरासरीने स्पर्धेत सर्वाधिक ३९८ धावा केल्या,Scored the highest 398 runs in the tournament at an average of 33,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.6666666666666665,3,1,1,0,0,13
त्याने ब्रिस्बेन येथील अंतिम सामन्यात दक्षिण आफ्रिकेच्या संघाविरुद्ध १०२ चेंडूत १०४ धावा केल्या,He scored 104 runs off 102 balls against South Africa in the final at Brisbane.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.6,4,1,1,0,3,16
भारताने तो सामना १७ धावांनी जिंकून विजेतेपद पटकावले,India won the match by 17 runs to clinch the title.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.75,1,2,0,0,1,12
"स्पर्धेच्या शेवटी राष्ट्रीय निवड समितीचे अध्यक्ष कृष्णम्माचारी श्रीकांत कोहलीच्या कामगिरीवर खूष होऊन म्हणाले, ""मला सांगावसं वाटतंय, सलामीवीर विराट कोहली खूपच छान खेळला","At the end of the tournament, the chairman of the national selection committee, Krishnamachari Srikkanth, was pleased with Kohli's performance and said, ""I must say, opener Virat Kohli played very well.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,2.375,4,4,2,2,7,39
त्याने खेळलेल्या काही फटकेच त्याची क्षमता सिद्ध करतात,The few knocks he played only proved his mettle.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2.0,0,2,1,1,0,10
""" कोहलीच्या मते ही स्पर्धा म्हणजे त्याच्या कारकि‍र्दीला कलाटणी देणारा क्षण होता","According to Kohli, the tournament was the turning point of his career",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0,3,2,0,0,1,13
कोहलीने नंतर श्रीलंकेतील त्रिकोणी मालिकेत जायबंदी गौतम गंभीरची जागा घेतली,Kohli later replaced an injured Gautam Gambhir in the tri-series in Sri Lanka,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1.8333333333333333,2,2,0,1,5,15
चँपियन्स ट्रॉफीमध्ये जायबंदी युवराज सिंगच्या जागी ४थ्या क्रमांकावर कोहलीने फलंदाजी केली,"In the Champions Trophy, Kohli batted at number 4 in place of the out-of-form Yuvraj Singh",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.4,5,1,1,0,5,21
फारसे महत्त्व नसलेल्या गट सामन्यात वेस्ट इंडीज विरुद्ध १३० धावांच्या लक्ष्याचा यशस्वी पाठलाग करताना त्याने नाबाद ७९ धावा करीत पहिल्यांदाच सामनावीराचा पुरस्कार मिळवला,He scored an unbeaten 79 in a successful chase of 130 against the West Indies in a low-key group match to earn his maiden Player of the Match award.,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,3.1666666666666665,5,2,4,0,4,32
"ऑस्ट्रेलिया विरुद्धच्या मायदेशी होणाऱ्या सात एकदिवसीय सामन्यांच्या मालिकेत कोहलीची एक आरक्षित फलंदाज म्हणून निवड झाली, त्यापैकी दोन सामन्यांत तो दुखापत झालेल्या युवराज सिंग आणि गौतम गंभीर ऐवजी खेळला","Kohli was selected as a reserve batsman for the seven-match ODI series against Australia at home, playing in two of them in place of the injured Yuvraj Singh and Gautam Gambhir.",8.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9,2.2222222222222223,8,3,1,0,6,35
डिसेंबर २००९ मध्ये मायदेशी होणाऱ्या श्रीलंकेविरुद्धच्या एकदिवसीय मालिकेसाठी कोहलीची निवड झाली,"In December 2009, Kohli was selected for the home ODI series against Sri Lanka.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2.0,3,1,0,0,5,16
त्याने पहिल्या दोन एकदिवसीय सामन्यात २७ आणि ५४ धावा केल्या,He scored 27 and 54 in the first two ODIs,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.5,1,1,1,0,0,10
त्यानंतर दुखापतीतून सावरलेल्या युवराज सिंगने तिसऱ्या सामन्यासाठी त्याची जागा घेतली,"Yuvraj Singh, who has since recovered from injury, replaced him for the third ODI.",4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1.6,2,2,1,0,3,17
"परंतु, युवराजच्या वारंवार उद्भवणाऱ्या बोटाच्या दुखापतीमुळे त्याला संघाबाहेर बसावे लागले","However, Yuvraj's recurring finger injury forced him out of the team.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.6666666666666665,2,2,0,1,1,14
कोलकात्याच्या ४थ्या एकदिवसीय सामन्यात कोहलीने संघात पुनरागमन केले,Kohli returned to the team for the 4th ODI in Kolkata,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.75,3,1,1,0,2,11
त्याने १११ चेंडूंत १०७ धावा करीत पहिले एकदिवसीय शतक साकारले,"He scored his maiden ODI century, 107 off 111 balls.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,1,1,2,0,0,12
गौतम गंभीरने त्याच्या सर्वोच्च १५० धावा करून कोहलीसोबत तिसऱ्या गड्यासाठी २२४ धावांची भागीदारी केली,Gautam Gambhir top-scored with 150 and shared a 224-run stand for the third wicket with Kohli,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.75,3,2,1,0,3,20
भारताने सात गडी राखून सामना जिंकला आणि मालिकेमध्ये ३-१ अशी विजयी आघाडी घेतली,India won the match by seven wickets and took an unassailable 3-1 lead in the series.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.6,3,2,1,0,1,19
"गंभीरला सामनावीराचा पुरस्कार मिळाला, तो त्याने कोहलीला दिला","Gambhir received the Man of the Match award, which he gave to Kohli.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1.5,2,2,0,0,4,15
"जानेवारी २०१० मध्ये झालेल्या बांगलादेश मधील त्रिकोणी मालिकेसाठी तेंडूलकरला विश्रांती देण्यात आली, त्यामुळे कोहलीला भारताच्या सर्वच्या सर्व पाच सामन्यांमध्ये खेळण्याची संधी मिळाली","Tendulkar was rested for the tri-series in Bangladesh in January 2010, allowing Kohli to play in all five of India's matches.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,7,1.2857142857142858,5,3,1,0,5,26
"श्रीलंकेविरुद्ध पराभव झालेल्या पहिल्या सामन्यात त्याने ९ धावा केल्या, परंतु त्यानंतरच्या बांगलादेश विरुद्धच्या सामन्यात २९७ धावांचा पाठलाग करताना भारताची फलंदाजी ५१/३ अशी कोसळली असताना त्याने ९१ धावांची खेळी करून भारताला विजय प्राप्त करून दिला","In the first match, which Sri Lanka lost, he scored 9 runs, but in the subsequent match against Bangladesh, when India's batting collapsed in pursuit of 297, he scored 91 runs to lead India to victory.",8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,13,1.6923076923076923,6,5,2,0,5,43
"पुढच्या श्रीलंकेविरुद्धच्या सामन्यात कोहलीने नाबाद ७१ धावा केल्या, त्यामुळे भारताने केवळ ३३ षटकांत २१४ धावांचा पाठलाग करून बोनस गुण मिळवला","In the next match against Sri Lanka, Kohli scored an unbeaten 71 as India chased down 214 in just 33 overs to earn a bonus point.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,2.1666666666666665,3,3,2,1,4,28
पुढच्याच दिवशी त्याने बांगलादेशविरुद्ध त्याचे दुसरे शतक झळकावले आणि भारताने तो सामनासुद्धा जिंकला,"The very next day, he scored his second century against Bangladesh and India won that match as well.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.6,1,2,2,3,2,20
भारतातर्फे २२व्या वाढदिवसाआधी दोन शतके झळकाविणारा तेंडूलकर आणि सुरेश रैना नंतर तो तिसराच फलंदाज,He is only the third batsman after Tendulkar and Suresh Raina to score two centuries for India before his 22nd birthday.,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2.0,2,2,2,1,4,22
"या मालिकेमधील कोहलीच्या कामगिरीमुळे त्याची खुप प्रशंसा करण्यात आली, प्रामुख्याने कर्णधार धोणीद्वारा","Kohli was highly praised for his performance in the series, especially by captain Dhoni.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1.75,2,1,0,2,2,16
"श्रीलंके विरुद्ध अंतिम सामन्यात भारत ४ गडी राखून पराभूत झाला त्यात कोहलीने फक्त २ धावा केल्या, परंतु तरीही पाच डावांमध्ये ९१","In the final against Sri Lanka, which India lost by 4 wickets, Kohli scored just 2 runs, but still scored 91 runs in five innings.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,1.75,4,3,1,2,4,29
६६ च्या सरासरीने २७५ धावा काढून तो मालिकेत सर्वात जास्त धावा करणारा फलंदाज ठरला,"He was the leading run-scorer in the series, with 275 runs at 66.",4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2.5,3,2,0,0,0,17
फेब्रुवारी २०१० मध्ये दक्षिण आफ्रिकेविरुद्ध मायदेशी झालेल्या तीन सामन्यांच्या एकदिवसीय मालिकेमध्ये दोन सामन्यांत त्याने ३१ आणि ५७ धावा केल्या,"In a three-match ODI series at home against South Africa in February 2010, he scored 31 and 57 in two matches",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.1666666666666665,5,1,1,0,3,24
पहिला पर्याय असणाऱ्या खेळाडूंना मे-जून २०१० दरम्यान होणाऱ्या श्रीलंका आणि झिंबाब्वे विररुद्धच्या त्रिकोणी मालिकेमधून वगळण्यात आल्यामुळे रैनाची कर्णधार म्हणून तर कोहलीची उपकर्णधार म्हणून निवड झाली,"The first option would be to drop the players from the tri-series against Sri Lanka and Zimbabwe to be held between May-June 2010, so Raina was selected as captain and Kohli as his deputy.",7.0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,12,1.6666666666666667,5,4,1,1,7,40
कोहलीने दोन अर्धशतकांसह ४२,Kohli scored 42 with two half-centuries,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.5,1,1,1,0,1,8
"०० च्या सरासरीने १६८ धावा केल्या, परंतु चार सामन्यांपैकी तीन मध्ये पराभव झाल्याने भारत स्पर्धेतून बाद झाला","He scored 168 runs at an average of 0.00, but India were eliminated from the tournament after losing three of their four matches.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,1.8333333333333333,5,3,0,0,1,25
"मालिकेदरम्यान, कोहली भारतातर्फे आंतरराष्ट्रीय एकदिवसीय क्रिकेटमध्ये सर्वात जलद १००० धावा पूर्ण करणारा फलंदाज ठरला","During the series, Kohli became the fastest Indian to reach 1000 ODI runs.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2.25,1,2,1,0,3,15
त्याने हरारे येथे झिंबाब्वे विरुद्ध आंतरराष्ट्रीय टी२० पदार्पण केले आणि नाबाद २६ धावा केल्या,"He made his international T20I debut against Zimbabwe at Harare, scoring 26 not out.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.75,2,2,2,1,2,16
नंतर त्याच महिन्यात २०१० आशिया चषकासाठी कर्णधार धोणी आणि उपकर्णधार सेहवागच्या नेतृत्वाखाली भारताने आपला पूर्ण ताकदीचा संघ निवडला,"Later that month, India named their full-strength squad for the 2010 Asia Cup, led by captain Dhoni and vice-captain Sehwag.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3.2,1,2,1,1,5,27
संपूर्ण मालिकेमध्ये कोहलीने ३ऱ्या क्रमांकावर फलंदाजी केली आणि १६,"Throughout the series, Kohli batted at No.3 and No.16.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.25,2,1,0,0,3,11
७५ च्या सरासरीने ६७ धावा केल्या,67 runs at an average of 75,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2,0,0,0,0,7
त्यानंतर ऑगस्ट २०१० मध्ये पार पडलेल्या श्रीलंका आणि न्यू झीलंड विरुद्धच्या त्रिकोणी मालिकेमध्ये सुद्धा त्याला सूर गवसला नाही,He also missed the subsequent tri-series against Sri Lanka and New Zealand in August 2010.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1.3333333333333333,2,1,2,1,5,18
त्या मालिकेत तो फक्त १५ च्या सरासरीने धावा करू शकला,He could only score at an average of 15 in that series,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,3,1,0,1,0,12
"खराब कामगिरीनंतरसुद्धा, ऑस्ट्रेलियाविरुद्ध ऑक्टोबरमध्ये झालेल्या तीन एकदिवसीय सामन्यांच्या मालिकेसाठी कोहलीची निवड झाली","Despite the poor performance, Kohli was selected for the three-match ODI series against Australia in October.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2.4,4,1,2,0,3,20
पहिला आणि तिसरा सामना पावसामुळे रद्द झाला,The first and third matches were abandoned due to rain.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3.0,1,1,2,0,0,11
विशाखापट्टणम् येथील दुसऱ्या सामन्यात कोहलीने त्याचे तिसरे एकदिवसीय शतक साजरे केले,Kohli celebrated his third ODI century in the second ODI at Visakhapatnam,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.25,2,1,3,0,2,12
त्याने १२१ चेंडूंत ११८ धावा केल्या त्यामुळे हा सामना २९० धावांचा पाठलाग करत असताना सलामीवीरांना लवकर गमावूनसुद्धा भारताने जिंकला,He scored 118 runs off 121 balls as India won the match despite losing their openers early while chasing 290.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1.6,1,4,0,2,1,21
त्याला सामनावीराचा पुरस्कार मिळाला आणि त्याने कबूल केले की आधीच्या दोन मालिकांमधील अपयशामुळे भारतीय संघातील स्थान टिकवून ठेवण्यासाठी तो दडपणाखाली होता,He won the man of the match award and admitted that he was under pressure to retain his place in the Indian team due to failures in the previous two series.,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,2.0,5,4,2,0,0,32
"२०१० च्या शेवटी न्यू झीलंड विरुद्ध एकदिवसीय मालिकेसाठी गौतम गंभीरच्या नेतृत्वाखाली भारताचा एक खूपच अननुभवी संघ निवडण्यात आला, ज्यात कोहलीने आपले स्थान राखले","A very inexperienced Indian team under Gautam Gambhir was selected for the ODI series against New Zealand in late 2010, with Kohli retaining his place.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,2.5,5,2,3,1,6,27
"गुवाहाटीमधल्या पहिल्या एकदिवसीय सामन्यात कोहलीने १०४ चेंडूत १०५ धावा केल्या, हे त्याचे लागोपाठ दुसरे व आंतरराष्ट्रीय एकदिवसीय क्रिकेटमधील चवथे शतक","In the first ODI in Guwahati, Kohli scored 105 off 104 balls, his second consecutive century and fourth in ODIs.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.0,4,1,3,1,3,23
सामन्यामध्ये भारताने ४० धावांनी विजय मिळवला आणि कोहलीला सामनावीराचा पुरस्कार देण्यात आला,India won the match by 40 runs and Kohli was awarded the Man of the Match.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,1.6666666666666667,2,2,0,0,4,17
दुसऱ्या आणि तिसऱ्या सामन्यात त्याने धावांचा पाठलाग करताना गंभीरसोबत १०० पेक्षा जास्त धावांची भागीदारी केली आणि अनुक्रमे ६४ आणि ६३* धावा केल्या,"In the second and third ODI, he shared a 100-plus partnership with Gambhir in the run chases, scoring 64 and 63 * respectively.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3.0,3,2,2,1,2,28
भारताने मालिकेत न्यू झीलंडला ५-० ने हरवून व्हॉईटवॉश दिला,India whitewashed New Zealand 5 - 0 in the series,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,2,1,0,0,3,10
कोहलीच्या या मालिकेतील कामगिरीमुळे तो आंतरराष्ट्रीय एकदिवसीय संघात एक नियमित झाला आणि तो भारताच्या विश्वचषक संघाचा एक प्रबळ दावेदार झाला २०१० मध्ये २५ आंतरराष्ट्रीय एकदिवसीय सामन्यांमध्ये ४७,"Kohli's performances in the series saw him become a regular in the international ODI team and a strong contender for India's World Cup squad, making 47 appearances in 25 ODIs in 2010.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,2.6666666666666665,5,3,2,0,5,36
३८ च्या सरासरीने ३ शतकांसह त्याने ९९५ धावा केल्या,He scored 995 runs at an average of 38 with 3 centuries.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.75,3,1,0,0,0,13
त्यावर्षीची ही भारतीय फलंदाजांमधील सर्वोत्कृष्ट कामगिरी होती,This was the best performance by an Indian batsman that year.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,1,1,2,0,0,12
जानेवारी २०११ मध्ये दक्षिण आफ्रिकेच्या दौऱ्यावर कोहली एका आंतरराष्ट्रीय टी२० सामन्याच्या मालिकेत आणि सर्वच्या सर्व पाच आंतरराष्ट्रीय एकदिवसीय सामन्यांत खेळला,"On the tour of South Africa in January 2011, Kohli played in one international T20I series and all five One Day Internationals.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2.5,4,1,2,0,6,24
टी२० सामन्यात भारताचा विजय झाला,India won the T20I series,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,1,1,0,1,5
"या सामन्यात त्याने २८ धावा केल्या, परंतु एकदिवसीय मालिकेत भारताचा २-३ असा पराभव झाला","He scored 28 runs in the match, but India lost the ODI series 3-2.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.8,2,2,0,0,2,18
एकदिवसीय मालिकेत दोन अर्धशतकांसह ४८,48 with two half-centuries in the ODI series,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5,2,0,1,0,1,10
२५ च्या सरासरीने त्याने १९३ धावा केल्या,He scored 193 runs at an average of 25.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,2,1,0,0,0,10
एकदिवसीय मालिकेदरम्यान भारताने विश्वचषकासाठी १५ खेळाडूंचा संघ घोषित केला ज्यात कोहलीचेही नाव होते,"During the ODI series, India named a 15-player squad for the World Cup, which included Kohli.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2.3333333333333335,2,2,0,0,5,21
मालिकेदरम्यान आयसीसी क्रमवारीत एकदिवसीय फलंदाजांच्या यादीत कोहली दुसऱ्या स्थानावर पोहोचला,"During the series, Kohli rose to 2nd position in the ICC ODI Rankings for batsmen.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.0,4,1,1,0,4,17
"विश्वचषकाच्या संघात कोहली आणि रैना दोघांचाही समावेश झाल्याने, शेवटच्या अकरा जणांत कोण खेळणार याविषयी अनेक तर्क-वितर्क लढवले गेले","With both Kohli and Raina included in the World Cup squad, there was much speculation as to who would play in the final eleven.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2.0,4,3,2,0,4,26
"स्पर्धेमधल्या भारताच्या पहिल्या सामन्याच्या काही दिवस आधी धोणीने सूचित केले की, रैनाऐवजी ऐन भरात असलेल्या कोहलीला प्राधान्य दिले जाईल","Days before India's first match of the tournament, Dhoni indicated that the in-form Kohli would be preferred to Raina.",6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1.8,3,2,1,0,4,24
भारताच्या विश्वचषकाच्या यशस्वी मोहिमेमध्ये कोहली प्रत्येक सामना खेळला,Kohli played every match in India's successful World Cup campaign,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3.0,1,1,1,0,4,11
बांगलादेश विरुद्धच्या पहिल्याच सामन्यात त्याने नाबाद १०० धावा करीत आपले पाचवे एकदिवसीय शतक साजरे केले आणि पदार्पणातल्या विश्वचषकात शतक झळकाविणारा पहिला भारतीय फलंदाज झाला,"He celebrated his fifth ODI century with an unbeaten 100 in the opening match against Bangladesh, becoming the first Indian batsman to score a century on debut in a World Cup.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,2.375,5,3,5,0,3,33
"पुढच्या चार सामन्यांत त्याने इंग्लंड, आयर्लंड, नेदरलँड्स आणि दक्षिण आफ्रिकेविरुद्ध त्याने अनुक्रमे ८, ३४, १२ आणि १ अशा खूपच कमी धावा केल्या","In his next four matches, against England, Ireland, the Netherlands, and South Africa, he scored very few runs, 8, 34, 12, and 1 respectively.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2.0,2,1,2,2,5,34
"वेस्ट इंडीजविरुद्धच्या सामन्यात त्याला त्याचा सूर सापडला आणि त्याने युवराज सिंग सोबत तिसऱ्या गड्यासाठी १२२ धावांची भागीदारी केली, ज्यात त्याचा वाटा ५९ धावांचा होता","He found his groove in the match against the West Indies and shared a 122-run partnership for the third wicket with Yuvraj Singh, in which he contributed 59 runs.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,2.2,5,3,1,0,4,33
"ऑस्ट्रेलियाविरुद्ध उपांत्य सामन्यात त्याने २४ धावा केल्या, आणि पाकिस्तान विरुद्ध उपांत्य सामन्यात तो ९ धावा काढून बाद झाला","He scored 24 runs in the semi-final against Australia, and was dismissed for 9 runs in the semi-final against Pakistan",5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1.4,5,2,6,0,2,25
भारताने दोन्ही सामने जिंकून मुंबईतील श्रीलंकेविरुद्ध अंतिम सामन्यात प्रवेश केला,India won both matches to reach the final against Sri Lanka in Mumbai.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.5,2,2,1,0,4,14
"अंतिम सामन्यात २७५ धावांचा पाठलाग करताना पहिल्या सात षटकांमध्ये दोन्ही सलामीवीर बाद झाल्यानंतर कोहली आणि गंभीरने तिसऱ्या गड्यासाठी ८३ धावांची भागीदारी केली, ज्यात कोहलीने ३५ धावा केल्या","Chasing 275 in the final, after both openers were dismissed in the first seven overs, Kohli and Gambhir put on 83 runs for the third wicket, with Kohli scoring 35.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,7,2.0,4,3,3,0,3,34
"ही भागीदारी म्हणजे ""सामन्याचा एक टर्निंग पॉईंट होता""","The partnership ""was a turning point in the match.""",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,1,1,0,0,0,12
भारताने सामन्यात ६ गडी राखून विजय मिळवला आणि १९८३ नंतर पहिल्यांदाच विश्वचषक जिंकला,India won the match by 6 wickets and won the World Cup for the first time since 1983.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.2,3,2,1,0,3,19
"जून-जुलै २०११ च्या भारतीय संघाच्या वेस्ट इंडीज दौऱ्यासाठी भारताने खूपच अनुभवी संघ निवडला, ज्यात तेंडूलकरला विश्रांती देण्यात आली आणि गंभीर व सेहवागला दुखापतीमुळे माघार घ्यावी लागली","India fielded a much experienced squad for the Indian team's tour of the West Indies in June-July 2011, with Tendulkar rested and Gambhir and Sehwag forced to withdraw due to injuries.",8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,2.0,4,4,2,1,8,36
कसोटी संघामध्ये पदार्पण करण्याऱ्या तीन खेळाडूंपैकी एक कोहली होता,Kohli was one of the three players to make his Test debut.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2.3333333333333335,1,2,0,0,2,13
एकदिवसीय मालिका कोहलीसाठी यशस्वी ठरली,The ODI series was a success for Kohli,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.0,1,1,0,0,2,8
त्याने ३९,He has 39.,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,4
८० च्या सरासरीने १९९ धावा केल्या,199 runs at an average of 80,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2,0,0,0,0,7
ही मालिका भारताने ३-२ अशी जिंकली,India won the series 3-2.,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.5,1,1,0,0,1,8
त्याची सर्वोत्कृष्ट खेळी ठरली ती पोर्ट ऑफ स्पेन मधील दुसऱ्या एकदिवसीय सामन्यातली,His best innings came in the second ODI at Port of Spain in 1993.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0,4,1,2,0,2,15
"त्यानंतरची एकदिवसीय मालिकेत भारताने ४-१ असा विजय मिळवला, ज्यात कोहलीने ६०","India won the subsequent ODI series 4-1, with Kohli scoring 60.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.0,2,2,1,0,3,15
मी आता फक्त २५ वर्षांचा आहे,I'm only 25 years old now.,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,1,1,2,0,8
मिड-विकेट आणि कव्हर क्षेत्रात त्याचे खास सामर्थ्य आहे,He has a special strength in the mid-wicket and cover region,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,1,2,3,0,0,13
"जेफ्री बॉयकॉट म्हणतात, ""जिमी अँडरसनने त्याला नाश्त्याला खाल्ले","Jimmy Anderson ate him for breakfast, says Geoffrey Boycott",5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1.5,1,2,0,0,3,10
विजय आवश्यक असलेल्या गटातील एका सामन्यात ऑस्ट्रेलियाविरुद्ध त्याने ५१ चेंडूंत ८२ धावांची प्रेक्षणीय खेळी केली,He scored a spectacular 82 off 51 balls against Australia in a must-win group match,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3.5,2,2,1,1,1,17
